end station id,N,name,latitude,longitude
3295,200,Central Park W & W 96 St,40.79127,-73.964839
3296,70,E 93 St & 2 Ave,40.7824541752799,-73.9489196240902
3297,48,6 St & 7 Ave,40.6686627,-73.97988067
3298,80,Warren St & Court St,40.686371,-73.99383324
3299,35,E 98 St & Park Ave,40.78813,-73.95206
330,129,Reade St & Broadway,40.71450451,-74.00562789
3300,57,Prospect Park West & 8 St,40.6651468153379,-73.9763760566711
3301,200,Columbus Ave & W 95 St,40.7919557,-73.968087
3302,33,Columbus Ave & W 103 St,40.7969347,-73.9643412291
3303,50,Butler St & Court St,40.6849894,-73.99440329
3304,68,6 Ave & 9 St,40.668127,-73.98377641
3305,131,E 91 St & 2 Ave,40.7811222993417,-73.9496558904648
3306,59,10 St & 7 Ave,40.6662078,-73.98199886
3307,103,West End Ave & W 94 St,40.7941654,-73.974124
3308,87,Kane St & Clinton St,40.6861758,-73.99645295
3309,43,E 97 St & 3 Ave,40.7859201,-73.94860294
331,163,Pike St & Monroe St,40.71173107,-73.99193043
3310,48,14 St & 7 Ave,40.663779,-73.98396846
3311,61,Columbia St & Kane St,40.68763155,-74.0016256
3312,94,1 Ave & E 94 St,40.7817212,-73.94594
3313,49,6 Ave & 12 St,40.6663181,-73.9854617
3314,167,W 95 St & Broadway,40.7937704,-73.971888
3315,108,Henry St & Degraw St,40.6847514,-73.99917254
3317,46,10 St & 5 Ave,40.6686273,-73.98700053
3318,157,2 Ave & E 96 St,40.7839636,-73.9471673
3319,61,14 St & 5 Ave,40.666287,-73.98895053
332,141,Cherry St,40.71219906,-73.97948148
3320,128,Central Park West & W 100 St,40.7940666081855,-73.9628684520721
3321,82,Clinton St & Union St,40.6831164,-73.99785267
3322,22,12 St & 4 Ave,40.668603,-73.9904394
3323,106,W 106 St & Central Park West,40.7981856,-73.9605909006
3324,36,3 Ave & 14 St,40.6685455,-73.99333264
3325,16,E 95 St & 3 Ave,40.7849032,-73.950503
3326,16,Clinton St & Centre St,40.67434,-74.00194698
3327,26,3 Ave & E 100 St,40.7877214,-73.94728331
3328,112,W 100 St & Manhattan Ave,40.795,-73.9645
3329,61,Degraw St & Smith St,40.6829151,-73.99318208
3330,11,Henry St & Bay St,40.6725058,-74.00494695
3331,78,Riverside Dr & W 104 St,40.8013434,-73.9711457439
3332,44,Degraw St & Hoyt St,40.681990442707,-73.9907902479172
3333,8,Columbia St & Lorraine St,40.6747055,-74.0075572
3335,100,Union St & 4 Ave,40.6772744,-73.98282002
3336,100,E 97 St & Madison Ave,40.787801,-73.953559
3337,13,Dwight St & Van Dyke St,40.673635513415,-74.0119555592537
3338,65,2 Ave & E 99 St,40.7862586,-73.94552579
3339,57,Berkeley Pl & 6 Ave,40.6765304,-73.97846879
334,366,W 20 St & 7 Ave,40.74238787,-73.99726235
3340,18,Wolcott St & Dwight St,40.6753274,-74.0100698
3341,43,Central Park West & W 102 St,40.795346,-73.96186
3342,14,Pioneer St & Richards St,40.6777748,-74.0094613
3343,55,W 107 St & Columbus Ave,40.7997568,-73.9621128676
3344,57,Pioneer St & Van Brunt St,40.679043,-74.011169
3345,62,Madison Ave & E 99 St,40.7894854155322,-73.9524292945862
3346,135,Berkeley Pl & 7 Ave,40.6751468387098,-73.9752320945263
3347,51,Van Brunt St & Wolcott St,40.6773429,-74.01275056
3348,40,Coffey St & Conover St,40.677236,-74.015665
3349,115,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984
335,282,Washington Pl & Broadway,40.72903917,-73.99404649
3350,133,W 100 St & Broadway,40.7973721,-73.97041192
3351,105,E 102 St & 1 Ave,40.7869946,-73.94164802
3352,24,Sigourney St & Columbia St,40.6726724341095,-74.0087952464819
3354,95,3 St & Prospect Park West,40.668132,-73.97363831
3355,58,E 66 St & Madison Ave,40.7680088930595,-73.9684528112412
3356,103,Amsterdam Ave & W 66 St,40.7746671,-73.98470567
3357,72,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472
3358,72,Garfield Pl & 8 Ave,40.6711978,-73.97484126
3359,57,E 68 St & Madison Ave,40.7691572,-73.96703464
336,310,Sullivan St & Washington Sq,40.73047747,-73.99906065
3360,200,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
3361,80,Carroll St & 6 Ave,40.6740886,-73.9787282
3362,115,Madison Ave & E 82 St,40.7781314,-73.96069399
3363,53,E 102 St & Park Ave,40.7904828,-73.95033068
3364,83,Carroll St & 5 Ave,40.6751622,-73.9814832
3365,73,3 St & 7 Ave,40.6703837,-73.97839676
3366,67,West End Ave & W 107 St,40.8021174,-73.9681805305
3367,140,5 Ave & E 103 St,40.7922553,-73.95249933
3368,99,5 Ave & 3 St,40.6728155,-73.98352355
3369,95,E 82 St & East End Ave,40.7724607,-73.9468208
337,155,Old Slip & Front St,40.7037992,-74.00838676
3370,77,E 78 St & 2 Ave,40.7727966,-73.95577801
3371,7,4 Ave & 2 St,40.6746134224758,-73.9850114285946
3372,194,E 74 St & 1 Ave,40.7689738,-73.95482273
3373,101,3 St & 3 Ave,40.6750705,-73.98775226
3374,213,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
3375,63,3 Ave & E 72 St,40.7699426,-73.96060712
3376,107,E 65 St & 2 Ave,40.7647185194434,-73.9622206985951
3377,89,Carroll St & Bond St,40.6786115,-73.99037292
3378,103,E 76 St & Park Ave,40.773763,-73.96222088
3379,66,E 103 St & Lexington Ave,40.7903051,-73.94755757
3381,35,3 St & Hoyt St,40.6777287,-73.99364123
3382,105,Carroll St & Smith St,40.680611,-73.99475825
3383,99,Cathedral Pkwy & Broadway,40.804213,-73.96699104
3384,64,Smith St & 3 St,40.6787242,-73.99599099
3386,65,1 Pl & Clinton St,40.6809591,-73.99905709
3387,41,E 106 St & Madison Ave,40.7934337,-73.94945003
3388,54,President St & Henry St,40.6828003,-73.99990419
3389,63,Carroll St & Columbia St,40.6830456,-74.00348559
339,111,Avenue D & E 12 St,40.72580614,-73.97422494
3390,58,E 109 St & 3 Ave,40.79329668,-73.9432083
3391,51,E 106 St & 1 Ave,40.7892529,-73.93956237
3392,26,Commerce St & Van Brunt St,40.6812117,-74.00860912
3393,21,Richards St & Delavan St,40.6794327,-74.00785041
3394,19,Columbia St & W 9 St,40.6769993,-74.00647134
3395,15,Henry St & W 9 St,40.6763744,-74.00324957
3396,68,Clinton St & 4 Place,40.6783563,-74.00014502
3397,47,Court St & Nelson St,40.6763947,-73.99869893
3398,101,Smith St & 9 St,40.6746957,-73.99785768
3399,39,7 St & 3 Ave,40.6726029815013,-73.9898300170898
340,140,Madison St & Clinton St,40.71269042,-73.98776323
3400,97,E 110 St & Madison Ave,40.7961535,-73.94782145
3401,10,2 Ave & 9 St,40.6724811,-73.99331394
3402,169,Court St & State St,40.6902375,-73.99203074
3403,61,4 Ave & 9 St,40.6705135,-73.98876585
3404,46,7 St & 5 Ave,40.6704922,-73.98541675
3405,47,5 St & 6 Ave,40.6704836,-73.98208968
3407,57,Union St & Nevins St,40.6790979972168,-73.9876547455788
3408,95,Congress St & Clinton St,40.6881529,-73.99520919
3409,222,Bergen St & Smith St,40.6867443,-73.99063168
341,113,Stanton St & Mangin St,40.71782143,-73.97628939
3410,56,Dean St & Hoyt St,40.6864442,-73.98759104
3411,92,Bond St & Bergen St,40.6849668,-73.98620772
3412,70,Pacific St & Nevins St,40.6853761,-73.98302136
3413,57,Wyckoff St & 3 Ave,40.6827549,-73.98258555
3414,73,Bergen St & Flatbush Ave,40.6809447234773,-73.9756733179092
3415,59,Prospect Pl & 6 Ave,40.6793307,-73.97519523
3416,115,7 Ave & Park Pl,40.6776147,-73.97324283
3417,84,Baltic St & 5 Ave,40.6795766,-73.97854971
3418,90,Plaza St West & Flatbush Ave,40.6750207,-73.97111473
3419,74,Douglass St & 4 Ave,40.6792788,-73.98154004
342,153,Columbia St & Rivington St,40.71739973,-73.98016555
3420,100,Douglass St & 3 Ave,40.6802133,-73.98432695
3422,90,Columbia St & Degraw St,40.6859296,-74.00242364
3423,187,West Drive & Prospect Park West,40.6610633719006,-73.9794525504112
3424,50,E 106 St & Lexington Ave,40.791976,-73.945993
3425,70,2 Ave & E 104 St,40.7892105,-73.94370784
3427,265,Lafayette St & Jersey St,40.7243052725033,-73.9960098266602
3429,237,Hanson Pl & Ashland Pl,40.6850680730818,-73.9779075980186
343,67,Clinton Ave & Flushing Ave,40.69794,-73.96986848
3430,75,Richardson St & N Henry St,40.7190789117956,-73.9422369003296
3431,26,E 35 St & 3 Ave,40.746524,-73.977885
3432,6,NYCBS Depot - GOW,40.6690601350111,-73.9946365356445
3434,60,W 88 St & West End Ave,40.7902541733042,-73.9771834015846
3435,461,Grand St & Elizabeth St,40.718822,-73.99596
3437,63,Riverside Dr & W 91 St,40.7931348098666,-73.9770036935806
344,89,Monroe St & Bedford Ave,40.6851443,-73.95380904
3440,187,Fulton St & Adams St,40.6924182925785,-73.989494740963
3441,24,10 Hudson Yards,40.752957,-74.00264
3443,334,W 52 St & 6 Ave,40.7613298312481,-73.9798200130463
3449,22,Eckford St & Engert Ave,40.7214625622982,-73.9480090141296
3452,75,Bayard St & Leonard St,40.7191557169604,-73.9488539099693
3453,84,Devoe St & Lorimer St,40.7133522622288,-73.9491033554077
3454,59,Leonard St & Maujer St,40.7103685423523,-73.9470595121384
3456,12,Jackson St & Leonard St,40.7163803197356,-73.9482128620148
3457,102,E 58 St & Madison Ave,40.7630259428052,-73.9720952510834
3458,103,W 55 St & 6 Ave,40.763093872708,-73.9783501625061
3459,209,E 53 St & 3 Ave,40.7576322773944,-73.9693057537079
346,233,Bank St & Hudson St,40.73652889,-74.00618026
3461,251,Murray St & Greenwich St,40.7148515052625,-74.0112233161926
3462,34,E 44 St & 2 Ave,40.7511838746328,-73.9713871479034
3463,277,E 16 St & Irving Pl,40.7353670556054,-73.9879739284515
