id,name,latitude,longitude,N
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,311
406,Hicks St & Montague St,40.69512845,-73.99595065,311
342,Columbia St & Rivington St,40.71739973,-73.98016555,311
524,W 43 St & 6 Ave,40.75527307,-73.98316936,310
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,310
337,Old Slip & Front St,40.7037992,-74.00838676,309
467,Dean St & 4 Ave,40.68312489,-73.97895137,309
308,St James Pl & Oliver St,40.71307916,-73.99851193,309
351,Front St & Maiden Ln,40.70530954,-74.00612572,308
79,Franklin St & W Broadway,40.71911552,-74.00666661,307
3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,306
2009,Catherine St & Monroe St,40.71117444,-73.99682619,304
3737,Stanton St & Norfolk St,40.720747,-73.986274,304
266,Avenue D & E 8 St,40.72368361,-73.97574813,299
3658,W 18 St & 9 Ave,40.7435337324616,-74.0036755800247,299
3486,Schermerhorn St & Bond St,40.6884174275408,-73.9845165610313,299
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,297
3134,3 Ave & E 62 St,40.76312584,-73.96526895,296
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,296
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,294
3078,Broadway & Roebling St,40.7092482627616,-73.9606314897537,294
3148,E 84 St & 1 Ave,40.77565541,-73.95068615,292
224,Spruce St & Nassau St,40.71146364,-74.00552427,291
3177,W 84 St & Broadway,40.7867947,-73.977112,290
3733,Avenue C & E 18 St,40.730563,-73.973984,290
3350,W 100 St & Broadway,40.7973721,-73.97041192,288
143,Clinton St & Joralemon St,40.69239502,-73.99337909,287
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,287
250,Lafayette St & Jersey St,40.72456089,-73.99565293,286
340,Madison St & Clinton St,40.71269042,-73.98776323,284
330,Reade St & Broadway,40.71450451,-74.00562789,281
3151,E 81 St & York Ave,40.7728384,-73.94989233,280
392,Jay St & Tech Pl,40.695065,-73.987167,279
3367,5 Ave & E 103 St,40.7922553,-73.95249933,278
3086,Graham Ave & Conselyea St,40.715143,-73.944507,276
3749,Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206,276
332,Cherry St,40.71219906,-73.97948148,273
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,273
3346,Berkeley Pl & 7 Ave,40.6751468387098,-73.9752320945263,270
3108,Nassau Ave & Russell St,40.72557,-73.94434,268
3690,Park Pl & Church St,40.7133418427591,-74.0093551576138,268
386,Centre St & Worth St,40.71494807,-74.00234482,266
3305,E 91 St & 2 Ave,40.7811222993417,-73.9496558904648,265
3668,Leonard St & Nassau Ave,40.7239567849954,-73.9498436450958,264
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,263
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,261
3162,W 78 St & Broadway,40.78339981,-73.98093133,261
498,Broadway & W 32 St,40.74854862,-73.98808416,255
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,255
3154,E 77 St & 3 Ave,40.77314236,-73.95856158,254
3747,E 84 St & 3 Ave,40.7775537429889,-73.9551275968552,254
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,252
3362,Madison Ave & E 82 St,40.7781314,-73.96069399,252
3096,Union Ave & N 12 St,40.71924,-73.95242,249
3136,5 Ave & E 63 St,40.766368,-73.971518,248
3671,E 81 St & 2 Ave,40.7747794489573,-73.9542746543884,248
471,Grand St & Havemeyer St,40.71286844,-73.95698119,246
276,Duane St & Greenwich St,40.71748752,-74.0104554,243
3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,242
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,242
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,241
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,241
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,241
3457,E 58 St & Madison Ave,40.7630259428052,-73.9720952510834,240
291,Madison St & Montgomery St,40.713126,-73.984844,239
516,E 47 St & 1 Ave,40.75206862,-73.96784384,238
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,238
